# gunzip -c exp/percgncopas5k/chain_s/tdnn1k_sp/decode_test_5g_400k/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/percgncopas5k/chain_s/tree_sp/graph_5g_400k 
# Started at Tue Mar 23 10:15:27 CET 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (72,72.5,96) frames.
Overall, O_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,6) frames.
Overall, p_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.6,5) frames.
Overall, E+_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,8) frames.
Overall, d_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,3) frames.
Overall, f_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,6) frames.
Overall, w_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.5,7) frames.
Overall, u_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.6,7) frames.
Overall, u_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (1,2.3,5) frames.
Overall, E_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,3.0,5) frames.
Overall, j_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,5) frames.
Overall, b_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,8) frames.
Overall, l_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.7,5) frames.
Overall, e_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.7,11) frames.
Overall, o_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,8) frames.
Overall, t_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,5) frames.
Overall, v_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,4) frames.
Overall, w_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.4,5) frames.
The optional-silence phone SIL occupies 55.2% of frames overall 
Limiting the stats to the 54.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 18.0% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.0 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 13.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (4,5.9,19)
# Accounting: time=0 threads=1
# Ended (code 0) at Tue Mar 23 10:15:27 CET 2021, elapsed time 0 seconds
